Time,X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0.625,1701.6433709242,-4222.68824838027,-1701.64337092421,-1367.67374273852,-4458.90340700035,1367.67374273853
0.629,1713.60844971594,-4248.92744151791,-1713.60844971595,-1375.3383914902,-4488.18279526655,1375.3383914902
0.632,1722.5907585089,-4268.59908039034,-1722.59075850889,-1381.07739078916,-4510.14729918956,1381.07739078916
0.635,1731.58035002212,-4288.26406528583,-1731.58035002212,-1386.80825639817,-4532.11605018385,1386.80825639818
0.639,1743.5777964555,-4314.47368519634,-1743.5777964555,-1394.43675542131,-4561.41431432001,1394.43675542132
0.642,1752.58437139437,-4334.12312317972,-1752.58437139436,-1400.14863631337,-4583.3929517197,1400.14863631338
0.645,1761.5982208301,-4353.76588921971,-1761.5982208301,-1405.85237828617,-4605.37581610711,1405.85237828618
0.649,1773.62799835676,-4379.94585605236,-1773.62799835676,-1413.44470433937,-4634.69286685303,1413.44470433938
0.652,1782.65881200439,-4399.5730332823,-1782.65881200439,-1419.12944942239,-4656.68557076922,1419.12944942241
0.656,1794.71119949731,-4425.73219549761,-1794.71119949732,-1426.69644062703,-4686.01571900146,1426.69644062704
0.659,1803.75896387644,-4445.34375461712,-1803.75896387645,-1432.36218033373,-4708.01822961491,1432.36218033375
0.662,1812.81398872188,-4464.94861129704,-1812.81398872187,-1438.01977228827,-4730.02493304452,1438.01977228828
0.666,1824.89864494988,-4491.07798489564,-1824.89864494988,-1445.55055126556,-4759.37371601298,1445.55055126557
0.669,1833.97060122523,-4510.66718164803,-1833.97060122522,-1451.18912576937,-4781.39017921232,1451.18912576938
0.672,1843.0498096837,-4530.2496580494,-1843.0498096837,-1456.81954735869,-4803.41081510965,1456.8195473587
0.676,1855.16669783274,-4556.34916342498,-1855.16669783274,-1464.31409116493,-4832.77814340021,1464.31409116493
0.679,1864.262818368,-4575.91593812937,-1864.262818368,-1469.92548328705,-4854.80849211001,1469.92548328705
0.682,1873.36618278112,-4595.4759745918,-1873.36618278113,-1475.52871735718,-4876.84299338693,1475.52871735719
0.686,1885.51526593896,-4621.54553222906,-1885.51526593896,-1482.98700315907,-4906.22877752896,1482.98700315908
0.689,1894.63552302419,-4641.08982527293,-1894.63552302418,-1488.57119580351,-4928.2729446315,1488.57119580353
0.692,1903.76301565996,-4660.62736220441,-1903.76301565996,-1494.14722528333,-4950.3212441576,1494.14722528334
0.696,1915.94425681628,-4686.66689267929,-1915.94425681628,-1501.56923035802,-4979.72539462428,1501.56923035804
0.699,1925.088622668,-4706.18864451857,-1925.088622668,-1507.12620651167,-5001.7833129597,1507.12620651168
0.702,1934.24021572092,-4725.7036223956,-1934.24021572092,-1512.67501441291,-5023.84534356257,1512.67501441292
0.706,1946.45357776743,-4751.71304637555,-1946.45357776744,-1520.06071614809,-5053.26777077111,1520.0607161481
0.709,1955.62202452876,-4771.2121975348,-1955.62202452876,-1525.59045888072,-5075.33937313771,1525.59045888073
0.712,1964.79769011989,-4790.70455690268,-1964.79769011988,-1531.11202829805,-5097.41506760308,1531.11202829806
0.716,1977.04313585046,-4816.68379514678,-1977.04313585045,-1538.461404192,-5126.85568191503,1538.46140419201
